"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","28","GET /carrinhos","","","","","Should find a cart by id",""
"passed","Thu Mar 14 19:51:31 GMT 2024","Thu Mar 14 19:51:31 GMT 2024","196","GET /usuarios","","","","","Should list 0 users",""
"passed","Thu Mar 14 19:51:26 GMT 2024","Thu Mar 14 19:51:26 GMT 2024","218","GET /produtos","","","","","Should list products",""
"passed","Thu Mar 14 19:51:27 GMT 2024","Thu Mar 14 19:51:27 GMT 2024","146","POST /produtos","Admin user","","","","Should create product",""
"failed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","279","DELETE /carrinhos","","","","","Should cancel a cart and return products to stock",""
"passed","Thu Mar 14 19:51:20 GMT 2024","Thu Mar 14 19:51:20 GMT 2024","34","POST /carrinhos","","","","","Should not create a cart with an inexistent product",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:33 GMT 2024","94","DELETE /usuarios","","","","","Should not delete when user has a cart",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","17","GET /carrinhos","","","","","Should not filter cart with inexistent data",""
"passed","Thu Mar 14 19:51:20 GMT 2024","Thu Mar 14 19:51:20 GMT 2024","82","POST /carrinhos","","","","","Should create a cart",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","179","GET /usuarios","","","","","Should list user by id",""
"passed","Thu Mar 14 19:51:20 GMT 2024","Thu Mar 14 19:51:20 GMT 2024","44","POST /carrinhos","","","","","Should not create a cart with an insufficient quantity of product",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","24","POST /usuarios","","","","","Should successfully create a not admin user",""
"passed","Thu Mar 14 19:51:31 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","141","GET /usuarios","","","","","Should list all users",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","33","DELETE /carrinhos","","","","","Should not cancel a cart without authorization token",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","18","DELETE /usuarios","","","","","Should not delete when attempts to delete an inexistent id",""
"passed","Thu Mar 14 19:51:28 GMT 2024","Thu Mar 14 19:51:28 GMT 2024","153","PUT /produtos","Admin user","","","","Should create a product when attempts to update with inexistent product id",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","35","DELETE /carrinhos","","","","","Should not finish a cart without authorization token",""
"passed","Thu Mar 14 19:51:26 GMT 2024","Thu Mar 14 19:51:27 GMT 2024","210","GET /produtos","","","","","Should list products filtered by parameters",""
"passed","Thu Mar 14 19:51:27 GMT 2024","Thu Mar 14 19:51:27 GMT 2024","162","POST /produtos","Admin user","","","","Should not create product with invalid data",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","29","PUT /usuarios","","","","","Should not insert user when attempts to updated an inexistent user id but with registered email",""
"passed","Thu Mar 14 19:51:23 GMT 2024","Thu Mar 14 19:51:23 GMT 2024","19","POST /login","","","","","Should authenticate admin user",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","24","PUT /usuarios","","","","","Should insert user when attempts to update an inexistent user id",""
"passed","Thu Mar 14 19:51:27 GMT 2024","Thu Mar 14 19:51:27 GMT 2024","210","GET /produtos","","","","","Should find product by id",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","20","POST /usuarios","","","","","Should successfully create an admin user",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","70","DELETE /carrinhos","","","","","Should checkout a cart",""
"passed","Thu Mar 14 19:51:27 GMT 2024","Thu Mar 14 19:51:27 GMT 2024","9","POST /produtos","","","","","Should not allow unauthenticated user create product",""
"passed","Thu Mar 14 19:51:28 GMT 2024","Thu Mar 14 19:51:28 GMT 2024","140","PUT /produtos","Admin user","","","","Should not create a product when attempts to update with inexistent product id but with existent product name",""
"passed","Thu Mar 14 19:51:27 GMT 2024","Thu Mar 14 19:51:27 GMT 2024","27","POST /produtos","","","","","Should not allow user create product",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","46","DELETE /carrinhos","","","","","Should not cancel if user do not have a cart",""
"passed","Thu Mar 14 19:51:29 GMT 2024","Thu Mar 14 19:51:29 GMT 2024","142","DELETE /produtos","","","","","Should not allow a user to delete a product",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","24","DELETE /usuarios","","","","","Should successfully delete user",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","41","DELETE /carrinhos","","","","","Should not checkout if user do not have a cart",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","28","POST /usuarios","","","","","Should not create a duplicated user",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","26","GET /carrinhos","","","","","Should not filter carts with invalid data",""
"passed","Thu Mar 14 19:51:29 GMT 2024","Thu Mar 14 19:51:29 GMT 2024","130","DELETE /produtos","Admin user","","","","Should not delete an inexistent product",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","18","PUT /usuarios","","","","","Should update successfully user data",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","28","GET /carrinhos","","","","","Should filter carts",""
"passed","Thu Mar 14 19:51:28 GMT 2024","Thu Mar 14 19:51:28 GMT 2024","168","PUT /produtos","Admin user","","","","Should not update a product with invalid data",""
"passed","Thu Mar 14 19:51:29 GMT 2024","Thu Mar 14 19:51:29 GMT 2024","131","DELETE /produtos","","","","","Should not allow unauthenticated user to delete a product",""
"passed","Thu Mar 14 19:51:23 GMT 2024","Thu Mar 14 19:51:23 GMT 2024","10","POST /login","","","","","Should authenticate user",""
"passed","Thu Mar 14 19:51:20 GMT 2024","Thu Mar 14 19:51:20 GMT 2024","53","POST /carrinhos","","","","","Should not create a cart with duplicated product",""
"passed","Thu Mar 14 19:51:28 GMT 2024","Thu Mar 14 19:51:28 GMT 2024","152","PUT /produtos","Admin user","","","","Should update a product",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","51","PUT /usuarios","","","","","Should not update with invalid data",""
"passed","Thu Mar 14 19:51:20 GMT 2024","Thu Mar 14 19:51:20 GMT 2024","70","POST /carrinhos","","","","","Should not create more then one cart",""
"passed","Thu Mar 14 19:51:29 GMT 2024","Thu Mar 14 19:51:29 GMT 2024","130","DELETE /produtos","Admin user","","","","Should delete a product",""
"passed","Thu Mar 14 19:51:29 GMT 2024","Thu Mar 14 19:51:29 GMT 2024","114","DELETE /produtos","Admin user","","","","Should not delete a product linked to a cart",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","30","POST /usuarios","","","","","Should not create a user with invalid data",""
"passed","Thu Mar 14 19:51:20 GMT 2024","Thu Mar 14 19:51:20 GMT 2024","39","POST /carrinhos","","","","","Should not create a cart with invalid data",""
"passed","Thu Mar 14 19:51:32 GMT 2024","Thu Mar 14 19:51:32 GMT 2024","197","GET /usuarios","","","","","Should list users filtered by parameters",""
"passed","Thu Mar 14 19:51:23 GMT 2024","Thu Mar 14 19:51:23 GMT 2024","21","POST /login","","","","","Should not authenticate with invalid data",""
"passed","Thu Mar 14 19:51:27 GMT 2024","Thu Mar 14 19:51:27 GMT 2024","161","POST /produtos","Admin user","","","","Should not create duplicated product",""
"passed","Thu Mar 14 19:51:23 GMT 2024","Thu Mar 14 19:51:23 GMT 2024","16","POST /login","","","","","Should not authenticate with invalid credentials",""
"passed","Thu Mar 14 19:51:28 GMT 2024","Thu Mar 14 19:51:28 GMT 2024","164","PUT /produtos","","","","","Should not allow a user to update a product",""
"passed","Thu Mar 14 19:51:21 GMT 2024","Thu Mar 14 19:51:21 GMT 2024","10","GET /carrinhos","","","","","Should list all carts",""
"passed","Thu Mar 14 19:51:27 GMT 2024","Thu Mar 14 19:51:28 GMT 2024","126","PUT /produtos","","","","","Should not allow unauthenticated user to update a product",""
